task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
226	9a/b91500	730895	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g4_r3_T1)	CACHED	0	2024-01-23 02:05:49.434	2.9s	2s	337.0%	2.8 MB	11 MB	56.1 MB	784.3 KB
230	a6/78442e	729743	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g4_r2_T1)	CACHED	0	2024-01-23 02:05:33.027	2.9s	1s	302.7%	2.8 MB	11 MB	50 MB	783 KB
234	6d/82b5bf	707923	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g8_r1_T1)	CACHED	0	2024-01-23 01:54:54.504	37.5s	34s	128.1%	2.8 MB	11 MB	166.1 MB	2.2 MB
229	dd/f647fc	719107	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g10_r1_T1)	CACHED	0	2024-01-23 02:02:08.741	1m 51s	1m 50s	401.4%	1022.9 MB	1.8 GB	1.8 GB	1.7 GB
203	bb/8b1d0e	643251	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_amb_g8_r1_T1)	CACHED	0	2024-01-23 01:18:17.692	30.6s	28s	132.8%	2.8 MB	11 MB	133.2 MB	2.2 MB
210	24/65a1ce	636021	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_amb_g4_r2_T1)	CACHED	0	2024-01-23 01:14:29.862	27.6s	25s	136.9%	2.8 MB	11 MB	115.6 MB	2.2 MB
232	be/5f946a	731623	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g10_r2_T1)	CACHED	0	2024-01-23 02:06:00.634	4.1s	2s	329.3%	2.8 MB	11 MB	85.6 MB	785.6 KB
228	9f/ef46a0	682902	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g0_r3_T1)	CACHED	0	2024-01-23 01:40:45.386	1m 46s	1m 44s	425.5%	1022.5 MB	1.8 GB	2 GB	1.9 GB
227	60/e18b3b	730221	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g8_r1_T1)	CACHED	0	2024-01-23 02:05:39.955	2.9s	1s	344.6%	2.8 MB	11 MB	57.3 MB	783.5 KB
235	84/62cdb1	525828	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g8_r3_T1)	CACHED	0	2024-01-23 00:35:11.812	56.9s	56s	620.1%	822.7 MB	1.6 GB	3.7 GB	3.7 GB
221	35/bba84c	686499	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g4_r2_T1)	CACHED	0	2024-01-23 01:42:30.977	1m 57s	1m 56s	406.3%	1022.7 MB	1.8 GB	1.9 GB	1.8 GB
191	54/a22b77	348912	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_1_g10_r2_T1)	CACHED	0	2024-01-23 00:03:47.084	1m 18s	1m 15s	378.7%	984.2 MB	1.3 GB	6.6 GB	6.5 GB
222	57/5738e6	718434	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g10_r1_T1)	CACHED	0	2024-01-23 02:01:25.085	43.6s	41s	123.0%	2.8 MB	11 MB	190.2 MB	2.2 MB
231	32/f71009	729968	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g0_r1_T1)	CACHED	0	2024-01-23 02:05:35.889	4.1s	2s	338.3%	2.8 MB	11 MB	85.1 MB	787.9 KB
204	0a/fc6dff	669528	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_amb_g10_r2_T1)	CACHED	0	2024-01-23 01:32:27.740	44.7s	42s	123.4%	2.8 MB	11 MB	193.9 MB	2.2 MB
