# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "CO2_30_g8_r3.featureCounts.txt" "CO2_30_g8_r3.bam" 
Geneid	Chr	Start	End	Strand	Length	CO2_30_g8_r3.bam
ndhB|51	ndhB|51	1	19	.	19	112
sll1682|83	sll1682|83	1	20	.	20	115
sll1682|55	sll1682|55	1	17	.	17	245
sll1682|32	sll1682|32	1	21	.	21	207
sll1682|134	sll1682|134	1	21	.	21	305
sll1682|115	sll1682|115	1	18	.	18	237
sll1686|64	sll1686|64	1	22	.	22	236
sll1686|165	sll1686|165	1	17	.	17	66
sll1686|193	sll1686|193	1	20	.	20	92
sll1686|180	sll1686|180	1	21	.	21	415
sll1686|214	sll1686|214	1	21	.	21	339
sll1037|58	sll1037|58	1	22	.	22	644
sll1037|73	sll1037|73	1	19	.	19	570
sll1037|21	sll1037|21	1	21	.	21	212
sll1037|94	sll1037|94	1	19	.	19	264
sll1037|46	sll1037|46	1	17	.	17	233
rne|232	rne|232	1	20	.	20	29
rne|194	rne|194	1	17	.	17	208
rne|138	rne|138	1	17	.	17	21
rne|206	rne|206	1	20	.	20	118
rne|82	rne|82	1	17	.	17	76
slr0730|17	slr0730|17	1	18	.	18	33
slr0730|34	slr0730|34	1	20	.	20	330
slr0730|60	slr0730|60	1	19	.	19	118
slr0730|4	slr0730|4	1	19	.	19	57
slr0730|45	slr0730|45	1	21	.	21	205
atpI|167	atpI|167	1	20	.	20	21
atpI|11	atpI|11	1	18	.	18	11
atpI|232	atpI|232	1	18	.	18	21
atpI|41	atpI|41	1	17	.	17	5
atpI|52	atpI|52	1	21	.	21	34
atpH|68	atpH|68	1	20	.	20	59
atpH|34	atpH|34	1	22	.	22	44
atpH|91	atpH|91	1	19	.	19	43
atpH|103	atpH|103	1	22	.	22	200
atpH|10	atpH|10	1	19	.	19	8
atpC|124	atpC|124	1	22	.	22	29
atpC|3	atpC|3	1	17	.	17	3
atpC|85	atpC|85	1	21	.	21	12
atpC|26	atpC|26	1	17	.	17	11
atpC|103	atpC|103	1	22	.	22	22
hypD|73	hypD|73	1	19	.	19	396
hypD|61	hypD|61	1	21	.	21	132
hypD|40	hypD|40	1	18	.	18	157
hypD|112	hypD|112	1	20	.	20	141
hypD|28	hypD|28	1	19	.	19	122
atpA|98	atpA|98	1	18	.	18	453
atpA|178	atpA|178	1	20	.	20	37
atpA|55	atpA|55	1	20	.	20	8
atpA|71	atpA|71	1	19	.	19	54
atpA|41	atpA|41	1	18	.	18	5
atpG|175	atpG|175	1	20	.	20	43
atpG|127	atpG|127	1	17	.	17	22
atpG|16	atpG|16	1	19	.	19	5
atpG|142	atpG|142	1	22	.	22	33
atpG|157	atpG|157	1	17	.	17	62
atpF|85	atpF|85	1	19	.	19	8
atpF|10	atpF|10	1	17	.	17	37
atpF|142	atpF|142	1	19	.	19	24
atpF|28	atpF|28	1	22	.	22	126
atpF|167	atpF|167	1	20	.	20	4
atpD|135	atpD|135	1	18	.	18	85
atpD|118	atpD|118	1	20	.	20	12
atpD|190	atpD|190	1	18	.	18	25
atpD|36	atpD|36	1	22	.	22	13
atpD|161	atpD|161	1	20	.	20	195
glmS|28	glmS|28	1	20	.	20	20
glmS|47	glmS|47	1	21	.	21	14
glmS|91	glmS|91	1	17	.	17	5
glmS|112	glmS|112	1	21	.	21	21
glmS|226	glmS|226	1	18	.	18	36
ssr2972|58	ssr2972|58	1	19	.	19	77
ssr2972|127	ssr2972|127	1	21	.	21	43
ssr2972|90	ssr2972|90	1	17	.	17	270
ssr2972|103	ssr2972|103	1	18	.	18	248
ssr2972|47	ssr2972|47	1	19	.	19	168
slr1501|79	slr1501|79	1	20	.	20	161
slr1501|34	slr1501|34	1	21	.	21	143
slr1501|10	slr1501|10	1	18	.	18	97
slr1501|48	slr1501|48	1	21	.	21	227
slr1501|22	slr1501|22	1	22	.	22	110
slr1774|226	slr1774|226	1	21	.	21	144
slr1774|91	slr1774|91	1	17	.	17	42
slr1774|147	slr1774|147	1	22	.	22	305
slr1774|107	slr1774|107	1	17	.	17	104
slr1774|160	slr1774|160	1	18	.	18	112
slr1773|227	slr1773|227	1	17	.	17	107
slr1773|93	slr1773|93	1	18	.	18	243
slr1773|78	slr1773|78	1	18	.	18	143
slr1773|65	slr1773|65	1	22	.	22	248
slr1773|54	slr1773|54	1	22	.	22	37
slr1772|133	slr1772|133	1	17	.	17	80
slr1772|151	slr1772|151	1	17	.	17	109
slr1772|16	slr1772|16	1	17	.	17	281
slr1772|222	slr1772|222	1	20	.	20	223
slr1772|48	slr1772|48	1	17	.	17	144
trx|126	trx|126	1	19	.	19	811
trx|80	trx|80	1	20	.	20	50
trx|45	trx|45	1	22	.	22	196
trx|102	trx|102	1	19	.	19	139
trx|31	trx|31	1	22	.	22	197
ssl2009|103	ssl2009|103	1	19	.	19	143
ssl2009|233	ssl2009|233	1	21	.	21	533
ssl2009|83	ssl2009|83	1	20	.	20	693
fhuA|187	fhuA|187	1	20	.	20	1107
fhuA|127	fhuA|127	1	17	.	17	106
fhuA|103	fhuA|103	1	20	.	20	343
fhuA|28	fhuA|28	1	21	.	21	409
fhuA|157	fhuA|157	1	21	.	21	81
slr1776|112	slr1776|112	1	22	.	22	208
slr1776|48	slr1776|48	1	19	.	19	145
slr1776|100	slr1776|100	1	18	.	18	117
slr1776|141	slr1776|141	1	22	.	22	177
slr1776|85	slr1776|85	1	18	.	18	68
upp|215	upp|215	1	21	.	21	382
upp|196	upp|196	1	17	.	17	93
upp|27	upp|27	1	20	.	20	96
upp|130	upp|130	1	21	.	21	502
upp|156	upp|156	1	17	.	17	257
slr1415|37	slr1415|37	1	22	.	22	190
slr1415|70	slr1415|70	1	20	.	20	203
slr1415|105	slr1415|105	1	19	.	19	79
slr1415|12	slr1415|12	1	18	.	18	158
slr1415|119	slr1415|119	1	21	.	21	170
dapB|79	dapB|79	1	21	.	21	23
dapB|56	dapB|56	1	20	.	20	8
dapB|123	dapB|123	1	17	.	17	109
dapB|180	dapB|180	1	21	.	21	96
dapB|21	dapB|21	1	18	.	18	31
pchR|16	pchR|16	1	19	.	19	156
pchR|49	pchR|49	1	22	.	22	71
pchR|4	pchR|4	1	20	.	20	109
pchR|70	pchR|70	1	19	.	19	111
pchR|29	pchR|29	1	19	.	19	59
psb13|148	psb13|148	1	20	.	20	126
psb13|136	psb13|136	1	17	.	17	137
psb13|19	psb13|19	1	17	.	17	269
psb13|37	psb13|37	1	17	.	17	216
psb13|56	psb13|56	1	19	.	19	121
fus|114	fus|114	1	22	.	22	90
fus|25	fus|25	1	20	.	20	118
fus|9	fus|9	1	19	.	19	376
fus|55	fus|55	1	18	.	18	123
fus|167	fus|167	1	21	.	21	279
llaI_2|982	llaI_2|982	1	19	.	19	128
llaI_2|444	llaI_2|444	1	17	.	17	193
llaI_2|1259	llaI_2|1259	1	20	.	20	144
llaI_2|327	llaI_2|327	1	22	.	22	49
ssl0410|214	ssl0410|214	1	19	.	19	137
ssl0410|19	ssl0410|19	1	20	.	20	77
ssl0410|115	ssl0410|115	1	22	.	22	308
ssl0410|52	ssl0410|52	1	20	.	20	12
sll0230|38	sll0230|38	1	22	.	22	122
sll0230|127	sll0230|127	1	22	.	22	85
sll0230|148	sll0230|148	1	18	.	18	250
sll0230|90	sll0230|90	1	17	.	17	324
sll0230|109	sll0230|109	1	21	.	21	148
msrA2|80	msrA2|80	1	22	.	22	255
msrA2|62	msrA2|62	1	17	.	17	141
msrA2|190	msrA2|190	1	20	.	20	269
msrA2|16	msrA2|16	1	18	.	18	50
msrA2|151	msrA2|151	1	19	.	19	77
psaK|112	psaK|112	1	22	.	22	353
psaK|34	psaK|34	1	22	.	22	154
psaK|136	psaK|136	1	18	.	18	46
psaK|50	psaK|50	1	20	.	20	76
psaK|22	psaK|22	1	21	.	21	48
psaD|64	psaD|64	1	20	.	20	30
psaD|126	psaD|126	1	17	.	17	61
psaD|97	psaD|97	1	18	.	18	24
psaD|21	psaD|21	1	21	.	21	7
psaD|85	psaD|85	1	19	.	19	118
aroK|41	aroK|41	1	21	.	21	8
aroK|259	aroK|259	1	20	.	20	206
aroK|238	aroK|238	1	18	.	18	67
aroK|87	aroK|87	1	19	.	19	37
aroK|76	aroK|76	1	17	.	17	20
rffM|11	rffM|11	1	20	.	20	90
rffM|58	rffM|58	1	17	.	17	93
rffM|190	rffM|190	1	20	.	20	230
rffM|122	rffM|122	1	18	.	18	180
rffM|97	rffM|97	1	19	.	19	119
sll1036|42	sll1036|42	1	21	.	21	18
sll1036|54	sll1036|54	1	20	.	20	424
sll1036|202	sll1036|202	1	19	.	19	60
sll1036|136	sll1036|136	1	17	.	17	336
sll1036|170	sll1036|170	1	19	.	19	274
ssl0426|241	ssl0426|241	1	20	.	20	90
ssl0426|256	ssl0426|256	1	17	.	17	93
ssl0426|148	ssl0426|148	1	17	.	17	92
fecD|29	fecD|29	1	17	.	17	249
fecD|76	fecD|76	1	22	.	22	27
fecD|45	fecD|45	1	22	.	22	305
fecD|59	fecD|59	1	19	.	19	244
fecD|7	fecD|7	1	19	.	19	296
fecE|65	fecE|65	1	17	.	17	165
fecE|47	fecE|47	1	19	.	19	217
fecE|25	fecE|25	1	22	.	22	391
fecE|98	fecE|98	1	17	.	17	391
fecE|13	fecE|13	1	18	.	18	122
fecB|91	fecB|91	1	21	.	21	185
fecB|74	fecB|74	1	18	.	18	185
fecB|106	fecB|106	1	22	.	22	147
fecB|13	fecB|13	1	21	.	21	110
fecB|24	fecB|24	1	20	.	20	107
fecC|147	fecC|147	1	18	.	18	366
fecC|3	fecC|3	1	20	.	20	34
fecC|54	fecC|54	1	18	.	18	114
fecC|67	fecC|67	1	19	.	19	108
fecC|115	fecC|115	1	19	.	19	4
phb|12	phb|12	1	20	.	20	176
phb|112	phb|112	1	21	.	21	141
phb|101	phb|101	1	18	.	18	212
phb|55	phb|55	1	20	.	20	297
phb|139	phb|139	1	18	.	18	192
ssl2733|51	ssl2733|51	1	19	.	19	229
ssl2733|30	ssl2733|30	1	20	.	20	134
ssl2733|187	ssl2733|187	1	18	.	18	406
folK|27	folK|27	1	17	.	17	61
folK|38	folK|38	1	18	.	18	7
folK|106	folK|106	1	22	.	22	38
folK|75	folK|75	1	18	.	18	32
folK|6	folK|6	1	17	.	17	59
sll1039|173	sll1039|173	1	20	.	20	208
sll1039|78	sll1039|78	1	20	.	20	312
sll1039|157	sll1039|157	1	17	.	17	202
sll1039|43	sll1039|43	1	19	.	19	208
sll1039|143	sll1039|143	1	17	.	17	170
cysM|53	cysM|53	1	17	.	17	56
cysM|28	cysM|28	1	18	.	18	52
cysM|40	cysM|40	1	22	.	22	120
cysM|134	cysM|134	1	22	.	22	303
cysM|113	cysM|113	1	18	.	18	156
ccmK2|28	ccmK2|28	1	21	.	21	136
ccmK2|39	ccmK2|39	1	18	.	18	162
ccmK2|151	ccmK2|151	1	22	.	22	202
ccmK2|76	ccmK2|76	1	20	.	20	53
ccmK2|172	ccmK2|172	1	19	.	19	118
sll0228|55	sll0228|55	1	21	.	21	509
sll0228|93	sll0228|93	1	20	.	20	68
sll0228|118	sll0228|118	1	18	.	18	99
sll0228|22	sll0228|22	1	17	.	17	49
sll0228|9	sll0228|9	1	21	.	21	102
cysH|152	cysH|152	1	20	.	20	9
cysH|61	cysH|61	1	19	.	19	13
cysH|79	cysH|79	1	22	.	22	46
cysH|94	cysH|94	1	21	.	21	16
cysH|30	cysH|30	1	20	.	20	6
sll0224|112	sll0224|112	1	21	.	21	146
sll0224|83	sll0224|83	1	19	.	19	129
sll0224|13	sll0224|13	1	17	.	17	152
sll0224|135	sll0224|135	1	22	.	22	237
sll0224|57	sll0224|57	1	22	.	22	259
sll0225|138	sll0225|138	1	19	.	19	143
sll0225|182	sll0225|182	1	18	.	18	285
sll0225|274	sll0225|274	1	21	.	21	139
sll0225|231	sll0225|231	1	17	.	17	123
sll0225|193	sll0225|193	1	19	.	19	71
slr1780|232	slr1780|232	1	20	.	20	229
slr1780|28	slr1780|28	1	17	.	17	124
slr1780|135	slr1780|135	1	22	.	22	70
slr1780|212	slr1780|212	1	20	.	20	56
slr1780|244	slr1780|244	1	20	.	20	44
ccmM|79	ccmM|79	1	21	.	21	122
ccmM|108	ccmM|108	1	22	.	22	102
ccmM|67	ccmM|67	1	22	.	22	33
ccmM|119	ccmM|119	1	22	.	22	61
ccmM|13	ccmM|13	1	22	.	22	50
slr1488|151	slr1488|151	1	18	.	18	24
slr1488|5	slr1488|5	1	19	.	19	235
slr1488|51	slr1488|51	1	22	.	22	50
slr1488|211	slr1488|211	1	17	.	17	58
slr1488|104	slr1488|104	1	20	.	20	135
ccmN|214	ccmN|214	1	19	.	19	161
ccmN|9	ccmN|9	1	22	.	22	34
ccmN|237	ccmN|237	1	20	.	20	104
ccmN|172	ccmN|172	1	17	.	17	146
ccmN|127	ccmN|127	1	21	.	21	444
cad|27	cad|27	1	22	.	22	144
cad|50	cad|50	1	20	.	20	206
cad|138	cad|138	1	17	.	17	83
cad|89	cad|89	1	18	.	18	169
cad|8	cad|8	1	19	.	19	122
ccmK|119	ccmK|119	1	20	.	20	194
ccmK|28	ccmK|28	1	20	.	20	61
ccmK|39	ccmK|39	1	20	.	20	173
ccmK|55	ccmK|55	1	21	.	21	108
ccmK|76	ccmK|76	1	17	.	17	170
slr0722|138	slr0722|138	1	20	.	20	108
slr0722|7	slr0722|7	1	18	.	18	463
slr0722|65	slr0722|65	1	17	.	17	68
slr0722|104	slr0722|104	1	19	.	19	34
slr0722|88	slr0722|88	1	22	.	22	149
hhoA|23	hhoA|23	1	22	.	22	52
hhoA|9	hhoA|9	1	20	.	20	18
hhoA|133	hhoA|133	1	17	.	17	61
hhoA|114	hhoA|114	1	17	.	17	31
hhoA|76	hhoA|76	1	19	.	19	47
cbiF|116	cbiF|116	1	21	.	21	115
cbiF|165	cbiF|165	1	19	.	19	205
cbiF|53	cbiF|53	1	20	.	20	64
cbiF|76	cbiF|76	1	17	.	17	47
cbiF|130	cbiF|130	1	17	.	17	30
slr1485|88	slr1485|88	1	20	.	20	129
slr1485|71	slr1485|71	1	18	.	18	330
slr1485|143	slr1485|143	1	21	.	21	379
slr1485|26	slr1485|26	1	19	.	19	351
slr1485|55	slr1485|55	1	19	.	19	136
slr1484|79	slr1484|79	1	20	.	20	191
slr1484|65	slr1484|65	1	18	.	18	201
slr1484|44	slr1484|44	1	22	.	22	9
slr1484|25	slr1484|25	1	20	.	20	51
slr1484|144	slr1484|144	1	22	.	22	80
iutA|114	iutA|114	1	20	.	20	66
iutA|186	iutA|186	1	21	.	21	157
iutA|301	iutA|301	1	20	.	20	25
iutA|84	iutA|84	1	20	.	20	83
iutA|238	iutA|238	1	18	.	18	92
pheA|52	pheA|52	1	20	.	20	24
pheA|3	pheA|3	1	18	.	18	26
pheA|114	pheA|114	1	21	.	21	179
pheA|30	pheA|30	1	20	.	20	18
pheA|136	pheA|136	1	22	.	22	172
slr1119|50	slr1119|50	1	18	.	18	124
slr1119|70	slr1119|70	1	19	.	19	110
slr1119|13	slr1119|13	1	17	.	17	111
slr1119|83	slr1119|83	1	20	.	20	62
slr1119|105	slr1119|105	1	22	.	22	69
ccmL|25	ccmL|25	1	21	.	21	31
ccmL|184	ccmL|184	1	22	.	22	28
ccmL|173	ccmL|173	1	17	.	17	97
ccmL|215	ccmL|215	1	19	.	19	88
ccmL|48	ccmL|48	1	19	.	19	253
slr1117|56	slr1117|56	1	18	.	18	141
slr1117|76	slr1117|76	1	20	.	20	309
slr1117|91	slr1117|91	1	22	.	22	82
slr1117|41	slr1117|41	1	19	.	19	50
slr1117|22	slr1117|22	1	19	.	19	143
slr1116|253	slr1116|253	1	18	.	18	125
slr1116|31	slr1116|31	1	22	.	22	99
slr1116|230	slr1116|230	1	22	.	22	97
slr1116|218	slr1116|218	1	17	.	17	141
slr1116|76	slr1116|76	1	18	.	18	127
slr1115|34	slr1115|34	1	22	.	22	101
slr1115|137	slr1115|137	1	20	.	20	179
slr1115|73	slr1115|73	1	20	.	20	105
slr1115|49	slr1115|49	1	19	.	19	86
slr1115|124	slr1115|124	1	18	.	18	246
slr1114|32	slr1114|32	1	21	.	21	44
slr1114|48	slr1114|48	1	17	.	17	126
slr1114|74	slr1114|74	1	17	.	17	121
slr1114|59	slr1114|59	1	18	.	18	112
slr1114|19	slr1114|19	1	18	.	18	139
slr1113|88	slr1113|88	1	20	.	20	162
slr1113|19	slr1113|19	1	20	.	20	135
slr1113|46	slr1113|46	1	21	.	21	47
slr1113|58	slr1113|58	1	20	.	20	189
slr1113|74	slr1113|74	1	18	.	18	87
slr1110|117	slr1110|117	1	22	.	22	163
slr1110|132	slr1110|132	1	17	.	17	62
slr1110|106	slr1110|106	1	17	.	17	177
slr1110|91	slr1110|91	1	19	.	19	65
slr1110|27	slr1110|27	1	19	.	19	101
ssl1326|241	ssl1326|241	1	20	.	20	82
ssl1326|103	ssl1326|103	1	20	.	20	149
ssl1326|52	ssl1326|52	1	20	.	20	183
ssl1326|64	ssl1326|64	1	20	.	20	179
sll1041|56	sll1041|56	1	17	.	17	139
sll1041|44	sll1041|44	1	19	.	19	146
sll1041|68	sll1041|68	1	19	.	19	379
sll1041|9	sll1041|9	1	18	.	18	114
sll1041|32	sll1041|32	1	20	.	20	159
slr0236|104	slr0236|104	1	19	.	19	121
slr0236|11	slr0236|11	1	20	.	20	42
slr0236|123	slr0236|123	1	20	.	20	125
slr0236|25	slr0236|25	1	19	.	19	61
slr0236|52	slr0236|52	1	17	.	17	15
slr0725|118	slr0725|118	1	20	.	20	118
slr0725|239	slr0725|239	1	18	.	18	53
slr0725|61	slr0725|61	1	18	.	18	207
slr0725|4	slr0725|4	1	17	.	17	120
slr0725|105	slr0725|105	1	22	.	22	97
sll1204|7	sll1204|7	1	21	.	21	323
sll1204|383	sll1204|383	1	18	.	18	74
sll1204|372	sll1204|372	1	18	.	18	116
sll1204|337	sll1204|337	1	22	.	22	62
sll1204|352	sll1204|352	1	19	.	19	110
sll1049|52	sll1049|52	1	18	.	18	37
sll1049|185	sll1049|185	1	22	.	22	144
sll1049|80	sll1049|80	1	19	.	19	69
sll1049|153	sll1049|153	1	22	.	22	203
sll1049|67	sll1049|67	1	19	.	19	142
sll1062|64	sll1062|64	1	17	.	17	107
sll1062|305	sll1062|305	1	20	.	20	115
sll1062|85	sll1062|85	1	17	.	17	84
sll1062|282	sll1062|282	1	17	.	17	128
ssr3000|70	ssr3000|70	1	20	.	20	317
ssr3000|136	ssr3000|136	1	20	.	20	29
ssr3000|38	ssr3000|38	1	22	.	22	199
ssr3000|55	ssr3000|55	1	20	.	20	314
ssr3000|118	ssr3000|118	1	18	.	18	103
atp1|338	atp1|338	1	20	.	20	64
atp1|6	atp1|6	1	17	.	17	91
atp1|274	atp1|274	1	17	.	17	6
atp1|130	atp1|130	1	18	.	18	171
atp1|39	atp1|39	1	20	.	20	42
sll1203|312	sll1203|312	1	19	.	19	135
sll1203|211	sll1203|211	1	18	.	18	165
sll1203|99	sll1203|99	1	22	.	22	140
sll1203|51	sll1203|51	1	19	.	19	109
sll1203|31	sll1203|31	1	17	.	17	89
sll1202|282	sll1202|282	1	22	.	22	67
sll1202|168	sll1202|168	1	20	.	20	114
sll1202|499	sll1202|499	1	17	.	17	87
sll1202|231	sll1202|231	1	22	.	22	72
sll1202|324	sll1202|324	1	20	.	20	41
sll0219|67	sll0219|67	1	17	.	17	102
sll0219|9	sll0219|9	1	22	.	22	58
sll0219|128	sll0219|128	1	17	.	17	48
sll0219|25	sll0219|25	1	17	.	17	129
sll0219|100	sll0219|100	1	22	.	22	149
rfbD2|179	rfbD2|179	1	22	.	22	50
rfbD2|118	rfbD2|118	1	17	.	17	57
rfbD2|202	rfbD2|202	1	21	.	21	185
rfbD2|86	rfbD2|86	1	19	.	19	203
rfbD2|156	rfbD2|156	1	17	.	17	135
slr1494|151	slr1494|151	1	20	.	20	93
slr1494|3	slr1494|3	1	21	.	21	84
slr1494|96	slr1494|96	1	18	.	18	129
slr1494|281	slr1494|281	1	17	.	17	138
slr1494|168	slr1494|168	1	18	.	18	104
slr1495|39	slr1495|39	1	22	.	22	255
slr1495|82	slr1495|82	1	18	.	18	242
slr1495|21	slr1495|21	1	19	.	19	176
slr1495|50	slr1495|50	1	20	.	20	516
slr1495|61	slr1495|61	1	17	.	17	179
slr1493|136	slr1493|136	1	22	.	22	174
slr1493|249	slr1493|249	1	19	.	19	134
slr1493|5	slr1493|5	1	21	.	21	152
slr1493|46	slr1493|46	1	20	.	20	24
slr1493|21	slr1493|21	1	17	.	17	169
slr0742|79	slr0742|79	1	21	.	21	0
slr0742|161	slr0742|161	1	18	.	18	16
slr0742|117	slr0742|117	1	21	.	21	21
slr0742|93	slr0742|93	1	19	.	19	8
slr0742|30	slr0742|30	1	17	.	17	72
morR|4	morR|4	1	21	.	21	163
morR|88	morR|88	1	20	.	20	256
morR|126	morR|126	1	18	.	18	283
morR|104	morR|104	1	18	.	18	104
morR|71	morR|71	1	20	.	20	62
slr1100|124	slr1100|124	1	17	.	17	243
slr1100|83	slr1100|83	1	19	.	19	43
slr1100|24	slr1100|24	1	22	.	22	253
slr1100|181	slr1100|181	1	20	.	20	234
slr1100|159	slr1100|159	1	17	.	17	182
chlD|26	chlD|26	1	17	.	17	33
chlD|124	chlD|124	1	18	.	18	342
chlD|15	chlD|15	1	21	.	21	21
chlD|56	chlD|56	1	17	.	17	27
chlD|4	chlD|4	1	22	.	22	8
sll0217|56	sll0217|56	1	18	.	18	262
sll0217|38	sll0217|38	1	17	.	17	403
sll0217|7	sll0217|7	1	22	.	22	85
sll0217|21	sll0217|21	1	22	.	22	282
sll0217|76	sll0217|76	1	21	.	21	207
sll0216|95	sll0216|95	1	22	.	22	127
sll0216|115	sll0216|115	1	18	.	18	81
