sgRNA_target	num_sgRNAs	p_fitness_condition	p_fitness_condition_2	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score	p_fitness_condition_adj
nc_slr0474-as	3	0.15869314176404378	0.4	CO2_30percent	0.15877155260121453	0.03267476790525358	0.9429872524997184	0.004047750240382054	0.38524895450859564
nc_slr0474-as	3	0.15869314176404378	0.4	CO2_4percent	0.3183151456823527	0.17553290011113018	0.7994991339779918	0.030934503235024904	0.38524895450859564
nc_slr0479-as2	2	0.32960960546565654	0.6666666666666666	CO2_30percent	-0.16182509337233011	0.26263219672143134	0.6045603515864193	0.03536854714044589	0.5852118689503559
nc_slr0479-as2	2	0.32960960546565654	0.6666666666666667	CO2_4percent	0.20041876683510787	0.30648237322197647	0.9720968262217057	0.002463241800471225	0.5852118689503559
nc_slr0479-as	4	0.4717794117996919	0.6857142857142857	CO2_30percent	0.21658090286006634	0.12848011534179418	0.8169753166567393	0.019013868043797635	0.7032732765690293
nc_slr0479-as	4	0.4717794117996919	0.6857142857142857	CO2_4percent	0.29113149667094373	0.20252939393475206	0.7994991339779918	0.02829274179297791	0.7032732765690293
nc_slr0480-as	1	0.13361440253771614	1	CO2_30percent	0.17962058497634653	NA	0.9458951075850284	0.004339098209248144	0.34813398257891537
nc_slr0480-as	1	0.13361440253771614	1	CO2_4percent	0.35532142759387014	NA	0.6756228534615185	0.06050970004746491	0.34813398257891537
nc_slr0482	3	0.41449154861760745	0.7	CO2_30percent	-0.5140212845917435	0.6273282772815828	0.594324564040631	0.11615663805561141	0.6703678756173281
nc_slr0482	3	0.41449154861760745	0.7	CO2_4percent	-0.5388171617673275	1.0885166136905997	0.9178852599150962	0.020050251019612157	0.6703678756173281
nc_slr0483-as	5	0.08024166929066141	0.2222222222222222	CO2_30percent	-1.770340016457173	0.9882274583911852	0.02303330397334184	2.899186282675286	0.26234028318417857
nc_slr0483-as	5	0.08024166929066141	0.2222222222222222	CO2_4percent	-0.6343077222641442	0.727251028539451	0.6476625593337079	0.1196629182460442	0.26234028318417857
nc_slr0484	2	1	1	CO2_30percent	-1.0476643150599179	0.9344539250179014	0.5571722200718051	0.26611778375242434	1
nc_slr0484	2	1	1	CO2_4percent	0.005049214910418845	0.030009050816386714	0.5764319061134006	0.0012080347078610254	1
nc_slr0487-as	5	0.22994905679421349	0.42063492063492064	CO2_30percent	-0.13334969460588955	0.2895905451950239	0.6652586483325006	0.02360415889101871	0.46448454693496694
nc_slr0487-as	5	0.22994905679421349	0.42063492063492064	CO2_4percent	0.3106465820900278	0.18454802008402635	0.8914439249771854	0.01550311910309155	0.46448454693496694
nc_slr0487	5	0.010097314647507225	0.05555555555555555	CO2_30percent	-0.3607427799015006	0.42345340484391775	0.2657783821366908	0.2076003800005937	0.08716901708161645
nc_slr0487	5	0.010097314647507225	0.05555555555555555	CO2_4percent	0.23023810537736167	0.250794589127702	0.7739566832797656	0.025621666554632244	0.08716901708161645
nc_slr0488-as	2	0.03670119249562781	0.3333333333333333	CO2_30percent	-0.3155742589887457	0.11281221866676103	0.28397608833732335	0.17253019947116643	0.18369856512907407
nc_slr0488-as	2	0.03670119249562781	0.3333333333333333	CO2_4percent	-0.03561129701798748	0.12433936175339166	0.6476625593337079	0.006718114211960489	0.18369856512907407
nc_slr0492-as	1	0.13361440253771614	1	CO2_30percent	0.08601388393644789	NA	0.9458951075850284	0.0020778391842352973	0.34813398257891537
nc_slr0492-as	1	0.13361440253771614	1	CO2_4percent	0.09312300640562174	NA	0.9525074466803449	0.0019678400158397503	0.34813398257891537
nc_slr0513-as	4	0.0025089099935004903	0.02857142857142857	CO2_30percent	-0.31106603984193965	0.389880931619592	0.28397608833732335	0.1700654738907257	0.045114152060683026
nc_slr0513-as	4	0.0025089099935004903	0.02857142857142857	CO2_4percent	0.3263067386059368	0.16394816114930133	0.3486641207824675	0.1493155950295179	0.045114152060683026
nc_slr0517-as	5	0.9180430114611047	1	CO2_30percent	-0.1600735549879024	0.3562035386720992	0.8624632381404762	0.01028623177468357	0.9371170758365387
nc_slr0517-as	5	0.9180430114611047	1	CO2_4percent	-0.45398356858806865	0.6726521050478986	0.8510688283109384	0.031794882634259426	0.9371170758365387
nc_slr0521-as2	3	0.8238861054648129	1	CO2_30percent	0.10612707794277096	0.06161248916757385	0.8978744444973047	0.004965090524508144	0.9371170758365387
nc_slr0521-as2	3	0.8238861054648129	1	CO2_4percent	0.1329484687799062	0.10541116089629857	0.9720968262217057	0.0016339998034053482	0.9371170758365387
nc_slr0521	1	0.13361440253771614	1	CO2_30percent	0.39864408718628497	NA	0.584708522690724	0.09290822052106146	0.34813398257891537
nc_slr0521	1	0.13361440253771614	1	CO2_4percent	0.2485634099363477	NA	0.7994991339779918	0.024155889887997422	0.34813398257891537
nc_slr0522-as	4	0.13697621398328264	0.34285714285714286	CO2_30percent	-0.03559813499443435	0.28499108258254086	0.6652586483325006	0.00630120704150042	0.34813398257891537
nc_slr0522-as	4	0.13697621398328264	0.34285714285714286	CO2_4percent	0.3085492879817402	0.1985782189915116	0.7211652573233834	0.043803262583916425	0.34813398257891537
nc_slr0528-as	5	0.51459819165810194	0.6904761904761905	CO2_30percent	-1.0343037059229936	0.5558617969745993	0.03851561305067935	1.4628810838790893	0.7032732765690293
nc_slr0528-as	5	0.51459819165810194	0.6904761904761905	CO2_4percent	-3.500063885441042	2.7379032098326053	0.6785485253288749	0.5894775710555427	0.7032732765690293
nc_slr0529-as	4	0.0025089099935004903	0.02857142857142857	CO2_30percent	0.3978611355174133	0.15051353751533147	0.31525333969256586	0.19946382261191947	0.045114152060683026
nc_slr0529-as	4	0.0025089099935004903	0.02857142857142857	CO2_4percent	0.006429838526704173	0.13180044674161712	0.497647869636685	0.0019487416413213002	0.045114152060683026
nc_slr0534-as3	5	0.35439798416825935	0.5476190476190477	CO2_30percent	-0.8165937438099222	0.7716541991418496	0.594324564040631	0.18453084878292877	0.5852118689503559
nc_slr0534-as3	5	0.35439798416825935	0.5476190476190477	CO2_4percent	0.1807467205290809	0.23538482012619788	0.7739566832797656	0.020114099691052975	0.5852118689503559
nc_slr0534-as	1	0.13361440253771614	1	CO2_30percent	0.10132493784952534	NA	0.9458951075850284	0.0024477086322425225	0.34813398257891537
nc_slr0534-as	1	0.13361440253771614	1	CO2_4percent	0.09920457784563011	NA	0.9525074466803449	0.0020963534745516476	0.34813398257891537
nc_slr0535-as	5	0.22994905679421349	0.42063492063492064	CO2_30percent	0.12800349875172992	0.3584331057343722	0.9647691158263495	0.0019938602726959067	0.46448454693496694
nc_slr0535-as	5	0.22994905679421349	0.42063492063492064	CO2_4percent	-0.6460411747528106	0.7210096914094678	0.7211652573233834	0.0917153671065801	0.46448454693496694
nc_slr0536-as2	4	0.7370162633798947	0.8857142857142857	CO2_30percent	-1.140587739706267	1.2729966896470397	0.45827043095318637	0.3865202789922747	0.8683388670782164
nc_slr0536-as2	4	0.7370162633798947	0.8857142857142857	CO2_4percent	-0.5613024646094932	0.9041694261601426	0.6411604038228789	0.10835007054262176	0.8683388670782164
nc_slr0536-as	2	0.32960960546565654	0.6666666666666667	CO2_30percent	0.18725320136019546	0.8202975413506172	0.9647691158263495	0.0029167696412061945	0.5852118689503559
nc_slr0536-as	2	0.32960960546565654	0.6666666666666666	CO2_4percent	-1.9273066387071833	1.5302751241214525	0.19934428107589489	1.349878282908402	0.5852118689503559
nc_slr0536	4	0.06135536552864657	0.2	CO2_30percent	-2.8987197021723556	1.6460859398780496	0.015082462181647676	5.280098391405809	0.24845335682762013
nc_slr0536	4	0.06135536552864657	0.2	CO2_4percent	-5.032339674023583	1.954684687491326	0.013936229783851901	9.339291243718879	0.24845335682762013
nc_slr0537-as	1	0.13361440253771614	1	CO2_30percent	-0.2799048025220369	NA	0.49333821959901863	0.08589025474936435	0.34813398257891537
nc_slr0537-as	1	0.13361440253771614	1	CO2_4percent	-2.3393856884882127	NA	0.3366624508281357	1.1060739974903016	0.34813398257891537
nc_slr0541-as	2	1	1	CO2_30percent	-1.1052077171936112	0.9024537679206848	0.48928840640055	0.3430952401869949	1
nc_slr0541-as	2	1	1	CO2_4percent	-0.8193632726959287	0.5065374605133189	0.29057650874644886	0.4397846321187331	1
nc_slr0542-as	2	1	1	CO2_30percent	-0.5964506916563956	2.41754903049534	1	-0	1
nc_slr0542-as	2	1	1	CO2_4percent	-0.17922172941160497	0.20413453774942508	0.4610569652166894	0.06026248436684893	1
nc_slr0551-as	2	1	1	CO2_30percent	0.21861296415787637	0.2807471865011748	0.9647691158263495	0.003405248361031952	1
nc_slr0551-as	2	1	1	CO2_4percent	0.179870079287217	0.24123233294665852	0.9349326218034614	0.005255747325587683	1
nc_slr0552	3	0.045183090966512865	0.2	CO2_30percent	0.8008209220797107	0.5601396179033435	0.41870951708492	0.30278011424175844	0.18884192389547036
nc_slr0552	3	0.045183090966512865	0.2	CO2_4percent	0.029796391338573747	0.25433719971719626	0.6785485253288749	0.005018281084966421	0.18884192389547036
nc_slr0554	5	0.021557177099591207	0.09523809523809523	CO2_30percent	-0.44195046828593454	0.6885087868134796	0.41870951708492	0.16709580080563205	0.13824151503232474
nc_slr0554	5	0.021557177099591207	0.09523809523809523	CO2_4percent	-2.4523835873625677	1.8291928173785246	0.13528805049485812	2.1304850943855134	0.13824151503232474
