sgRNA_target	condition	wmean_fitness	p_fitness_adj	p_fitness_condition	p_fitness_condition_2	p_fitness_condition_adj
slr0757	CO2_4percent	0.3935082442596304	0.613832048322259	0.021557177099591207	0.09523809523809523	0.613832048322259
slr0758	CO2_30percent	1.704929002460465	0.00872410061899529	6.846034854385695e-4	0.007936507936507936	0.00872410061899529
slr0758	CO2_4percent	-0.4139218439822269	0.1561979395060061	6.846034854385695e-4	0.007936507936507936	0.1561979395060061
slr0765	CO2_30percent	0.17963366225121566	0.9190642338250596	0.08024166929066141	0.2222222222222222	0.9190642338250596
slr0765	CO2_4percent	-1.1654749165102263	0.5399302538694818	0.08024166929066141	0.2222222222222222	0.5399302538694818
slr0769	CO2_30percent	-1.353921073441634	0.594324564040631	0.7059529851215194	0.8412698412698413	0.594324564040631
slr0769	CO2_4percent	-0.46934700125871187	0.5764319061134006	0.7059529851215194	0.8412698412698413	0.5764319061134006
slr0770	CO2_30percent	-1.6538016366849724	0.31525333969256586	0.26986803802655573	0.4857142857142857	0.31525333969256586
slr0770	CO2_4percent	-0.7779277322547944	0.8350840361747932	0.26986803802655573	0.4857142857142857	0.8350840361747932
slr0771	CO2_30percent	-2.4915569867628338	0.8757201272803087	0.32960960546565654	0.6666666666666667	0.8757201272803087
slr0771	CO2_4percent	-3.083920741765168	0.5198191968886985	0.32960960546565654	0.6666666666666666	0.5198191968886985
slr0773	CO2_30percent	-3.378747728115923	0.5217432202413865	0.22994905679421349	0.42063492063492064	0.5217432202413865
slr0773	CO2_4percent	-4.672438765228524	0.13528805049485812	0.22994905679421349	0.42063492063492064	0.13528805049485812
slr0779	CO2_30percent	-2.127301010449347	0.6652586483325006	0.9180430114611047	1	0.6652586483325006
slr0779	CO2_4percent	-3.9894384928502724	0.8914439249771854	0.9180430114611047	1	0.8914439249771854
slr0780	CO2_30percent	-2.1429325795480123	0.012227041170706682	0.010097314647507225	0.05555555555555555	0.012227041170706682
slr0780	CO2_4percent	0.30485610426330634	0.497647869636685	0.010097314647507225	0.05555555555555555	0.497647869636685
slr0782	CO2_30percent	-0.26924977234889785	0.3178048046721386	0.14024270215766366	0.30952380952380953	0.3178048046721386
slr0782	CO2_4percent	0.08802266986226237	0.7994991339779918	0.14024270215766366	0.30952380952380953	0.7994991339779918
slr0784	CO2_30percent	0.22307554839517896	0.2657783821366908	0.043002747477351014	0.15079365079365079	0.2657783821366908
slr0784	CO2_4percent	-0.4583950513050211	0.6785485253288749	0.043002747477351014	0.15079365079365079	0.6785485253288749
slr0787	CO2_30percent	0.5988072926627543	0.594324564040631	0.35439798416825935	0.5476190476190477	0.594324564040631
