sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent	p_fitness_condition_CO2_30percent	p_fitness_condition_CO2_4percent	p_fitness_condition_adj_CO2_30percent	p_fitness_condition_adj_CO2_4percent	impact_score	combined_impact_score
nc_slr0474-as	NA	slr0474-as	NA	0.15877155260121453	0.3183151456823527	0.03267476790525358	0.17553290011113018	0.9429872524997184	0.7994991339779918	0.004047750240382054	0.030934503235024904	0.4	0.4	0.8858294993655463	0.8858294993655463	-0.11281435656253994	0.005939660213785319
nc_slr0479-as2	NA	slr0479-as2	NA	-0.16182509337233011	0.20041876683510787	0.26263219672143134	0.30648237322197647	0.6045603515864193	0.9720968262217057	0.03536854714044589	0.002463241800471225	0.6666666666666666	0.6666666666666667	0.9838308457711443	0.9838308457711443	-0.25614508999587116	0.0018133958782913246
nc_slr0479-as	NA	slr0479-as	NA	0.21658090286006634	0.29113149667094373	0.12848011534179418	0.20252939393475206	0.8169753166567393	0.7994991339779918	0.019013868043797635	0.02829274179297791	0.6857142857142857	0.6857142857142857	0.9838308457711443	0.9838308457711443	-0.05271523042515526	3.7320091350450974e-4
nc_slr0480-as	NA	slr0480-as	NA	0.17962058497634653	0.35532142759387014	NA	NA	0.9458951075850284	0.6756228534615185	0.004339098209248144	0.06050970004746491	1	1	1	1	-0.12423925727504129	-0
nc_slr0482	NA	slr0482	NA	-0.5140212845917435	-0.5388171617673275	0.6273282772815828	1.0885166136905997	0.594324564040631	0.9178852599150962	0.11615663805561141	0.020050251019612157	0.7	0.7	0.9838308457711443	0.9838308457711443	0.017533332896324232	1.2412837430308174e-4
nc_slr0483-as	NA	slr0483-as	NA	-1.770340016457173	-0.6343077222641442	0.9882274583911852	0.727251028539451	0.02303330397334184	0.6476625593337079	2.899186282675286	0.1196629182460442	0.2222222222222222	0.2222222222222222	0.7630115322423014	0.7630115322423014	-0.8032961388708015	0.09436231221668398
nc_slr0484	NA	slr0484	NA	-1.0476643150599179	0.005049214910418845	0.9344539250179014	0.030009050816386714	0.5571722200718051	0.5764319061134006	0.26611778375242434	0.0012080347078610254	1	1	1	1	-0.7443808756888529	-0
nc_slr0487-as	NA	slr0487-as	NA	-0.13334969460588955	0.3106465820900278	0.2895905451950239	0.18454802008402635	0.6652586483325006	0.8914439249771854	0.02360415889101871	0.01550311910309155	0.42063492063492064	0.42063492063492064	0.8858294993655463	0.8858294993655463	-0.31395277807326183	0.016529570187242673
nc_slr0487	NA	slr0487	NA	-0.3607427799015006	0.23023810537736167	0.42345340484391775	0.250794589127702	0.2657783821366908	0.7739566832797656	0.2076003800005937	0.025621666554632244	0.05555555555555555	0.05555555555555555	0.5240675649287249	0.5240675649287249	-0.4178865915323126	0.1172642924286518
nc_slr0488-as	NA	slr0488-as	NA	-0.3155742589887457	-0.03561129701798748	0.11281221866676103	0.12433936175339166	0.28397608833732335	0.6476625593337079	0.17253019947116643	0.006718114211960489	0.3333333333333333	0.3333333333333333	0.8858294993655463	0.8858294993655463	-0.19796370889059464	0.010422761794674643
nc_slr0492-as	NA	slr0492-as	NA	0.08601388393644789	0.09312300640562174	NA	NA	0.9458951075850284	0.9525074466803449	0.0020778391842352973	0.0019678400158397503	1	1	1	1	-0.00502690870623848	-0
