"","CO2_30_g0_r1","CO2_30_g0_r2","CO2_30_g0_r3","CO2_30_g10_r1","CO2_30_g10_r2","CO2_30_g10_r3","CO2_30_g4_r1","CO2_30_g4_r2","CO2_30_g4_r3","CO2_30_g8_r1","CO2_30_g8_r2","CO2_30_g8_r3","CO2_4_g0_r1","CO2_4_g0_r2","CO2_4_g0_r3","CO2_4_g0_r4","CO2_4_g10_r1","CO2_4_g10_r2","CO2_4_g10_r3","CO2_4_g10_r4","CO2_4_g4_r1","CO2_4_g4_r2","CO2_4_g4_r3","CO2_4_g4_r4","CO2_4_g8_r1","CO2_4_g8_r2","CO2_4_g8_r3","CO2_4_g8_r4"
"CO2_4_g0_r1",0.957262108746913,0.955249528603093,0.956012168383142,0.530753955810341,0.459477687692534,0.509220703649253,0.867431688938269,0.885906649243999,0.861451507084069,0.687056436196933,0.711763886741235,0.684248147529595,1,0.970281184034321,0.972239462979509,0.968728307882966,0.740446299849662,0.763759878285875,0.773696779670584,0.745040582726468,0.902341309977182,0.908207448905611,0.913361163718736,0.903339840493817,0.802728712456028,0.807313070561916,0.815493776666958,0.802369578394228
"CO2_4_g0_r2",0.959771675990458,0.958263118240604,0.9591697892622,0.543515072063275,0.469255578263244,0.521047959185478,0.875650481331457,0.892545621203698,0.869837990277187,0.698134713983496,0.721439393847114,0.695261164619396,0.970281184034321,1,0.974161637847732,0.970130096927932,0.743535533622483,0.768078119267731,0.777271717256163,0.748536830486877,0.905501226161767,0.911596457280164,0.917259707697162,0.907021917571261,0.80606617684836,0.811899419220831,0.819379599356904,0.806247913071853
"CO2_4_g0_r3",0.960111847943542,0.958864803130099,0.960128813688754,0.539344954896723,0.46828067633149,0.516947141324786,0.87219078114387,0.889942606974455,0.866178838504049,0.694669524564805,0.719108668454158,0.691530352815649,0.972239462979509,0.974161637847732,1,0.971841358595312,0.741948523312398,0.76562804501443,0.775913421462403,0.746321826676212,0.90400320060198,0.909191950167769,0.915996553197907,0.904805952833818,0.805643924482008,0.808903806906273,0.81785213639488,0.804750799492087
"CO2_4_g0_r4",0.959248318634325,0.956823929266008,0.957042832087988,0.538409584766681,0.464730099828197,0.516506730327625,0.871785045888606,0.889164375056089,0.865527892103259,0.693308222249588,0.717468355769132,0.690830070966225,0.968728307882966,0.970130096927932,0.971841358595312,1,0.74221555890255,0.765674966514565,0.775177554721555,0.746999672695507,0.902804690999306,0.90930333019245,0.914401180700627,0.904685446555976,0.803469238427246,0.809268335331993,0.817308093739507,0.804474860438161
"CO2_4_g10_r1",0.745320276522733,0.742577543055463,0.74190798260828,0.522174784341626,0.46384917232092,0.50305631192961,0.787235563345909,0.81053502215512,0.790813241527768,0.686615217980055,0.725922962346589,0.688087779728151,0.740446299849662,0.743535533622483,0.741948523312398,0.74221555890255,1,0.972217659593937,0.973190663307856,0.982103861702716,0.88165253588471,0.877816138117411,0.870151697255963,0.881034074185733,0.964433211471058,0.954059673499211,0.95341631022556,0.960860748459406
"CO2_4_g10_r2",0.770333141114245,0.767039318648612,0.766711612186466,0.536234325736226,0.471767739838865,0.516125490140122,0.81195542673483,0.834427767857916,0.815372205139808,0.706069637895659,0.742169247227552,0.707547714696984,0.763759878285875,0.768078119267731,0.76562804501443,0.765674966514565,0.972217659593937,1,0.979149226497819,0.972583093070052,0.907139511252019,0.906365978274553,0.895723487746971,0.908362116839074,0.975289397046672,0.975406855236745,0.97031472379747,0.974584367098051
"CO2_4_g10_r3",0.779612440169,0.776447861905878,0.775759210395286,0.536126536520759,0.465013779883256,0.515196215154125,0.818543743374498,0.840919207877124,0.820361840384437,0.70637131674656,0.740749072553523,0.706983651430229,0.773696779670584,0.777271717256163,0.775913421462403,0.775177554721555,0.973190663307856,0.979149226497819,1,0.9740815980722,0.914082514697754,0.912423889198229,0.904401484640508,0.914713049708723,0.977597057639945,0.974472678138461,0.976028691933176,0.976929276753559
"CO2_4_g10_r4",0.750300245753055,0.747078175055922,0.746176485198191,0.524933785325288,0.463309541234252,0.505629184915455,0.790692841937545,0.813991438888926,0.793731515196913,0.688571058941928,0.726336914984289,0.690025223088195,0.745040582726468,0.748536830486877,0.746321826676212,0.746999672695507,0.982103861702716,0.972583093070052,0.9740815980722,1,0.883551365391696,0.881766447697441,0.87354104860348,0.885304011143472,0.963581307787603,0.955442060076561,0.955059075866276,0.963655766033559
"CO2_4_g4_r1",0.905169929047486,0.901534702535077,0.902195944552925,0.581373589414709,0.500537642314847,0.55753326584212,0.903276338373219,0.922265991088759,0.901581161156,0.751792460863425,0.779819224367402,0.750640197579206,0.902341309977182,0.905501226161767,0.90400320060198,0.902804690999306,0.88165253588471,0.907139511252019,0.914082514697754,0.883551365391696,1,0.979761262066005,0.976548173918115,0.978770725833721,0.937140368698265,0.941210351400195,0.945835374950573,0.936062849313062
"CO2_4_g4_r2",0.910852363749105,0.907309316091146,0.906993677215095,0.57635451085721,0.497032524452274,0.552841139737191,0.904172749640846,0.923987499168697,0.90207874083314,0.749298593460928,0.777731430832573,0.747877044346373,0.908207448905611,0.911596457280164,0.909191950167769,0.90930333019245,0.877816138117411,0.906365978274553,0.912423889198229,0.881766447697441,0.979761262066005,1,0.979295129512611,0.980847422397515,0.935305087880924,0.941522101530555,0.945503452674248,0.935598471586131
"CO2_4_g4_r3",0.914379947988812,0.911589695649709,0.911332997328088,0.56882056795786,0.489153134156225,0.544769569359357,0.901992347093029,0.921550801658973,0.898507893746292,0.741594607454324,0.770531340532047,0.739631819381744,0.913361163718736,0.917259707697162,0.915996553197907,0.914401180700627,0.870151697255963,0.895723487746971,0.904401484640508,0.87354104860348,0.976548173918115,0.979295129512611,1,0.977980327807171,0.926284204434165,0.9311124582882,0.937774122401689,0.92663340615519
"CO2_4_g4_r4",0.905797389992622,0.902256428838543,0.902317111747726,0.574853527701582,0.494737287576713,0.551008209280206,0.901318673556269,0.921172580604048,0.899464860942641,0.747958321246613,0.776287537261324,0.746386101099135,0.903339840493817,0.907021917571261,0.904805952833818,0.904685446555976,0.881034074185733,0.908362116839074,0.914713049708723,0.885304011143472,0.978770725833721,0.980847422397515,0.977980327807171,1,0.936847027509253,0.941680183614088,0.946419620784126,0.937922351419237
"CO2_4_g8_r1",0.808886338876925,0.805497887217164,0.805017646663201,0.5637724624244,0.496463082389577,0.542605690022858,0.847039680191305,0.868747335864818,0.849200864853343,0.73428322244296,0.768818733468728,0.734323682270302,0.802728712456028,0.80606617684836,0.805643924482008,0.803469238427246,0.964433211471058,0.975289397046672,0.977597057639945,0.963581307787603,0.937140368698265,0.935305087880924,0.926284204434165,0.936847027509253,1,0.980285982166519,0.980543829251546,0.981442231666139
"CO2_4_g8_r2",0.814144192296602,0.810007058752371,0.809706315311686,0.562553006839876,0.488984524757084,0.541333325818778,0.850422826102452,0.871579480263825,0.852747436799304,0.735375786379888,0.767036308112579,0.735390705447135,0.807313070561916,0.811899419220831,0.808903806906273,0.809268335331993,0.954059673499211,0.975406855236745,0.974472678138461,0.955442060076561,0.941210351400195,0.941522101530555,0.9311124582882,0.941680183614088,0.980285982166519,1,0.981404240388164,0.980696960179435
"CO2_4_g8_r3",0.821655919529342,0.817892520619135,0.817252837689276,0.558596668466558,0.481533826284585,0.535927497123266,0.853387342893561,0.875394882570147,0.855086039845144,0.731973011895406,0.763187006934656,0.731785425841748,0.815493776666958,0.819379599356904,0.81785213639488,0.817308093739507,0.95341631022556,0.97031472379747,0.976028691933176,0.955059075866276,0.945835374950573,0.945503452674248,0.937774122401689,0.946419620784126,0.980543829251546,0.981404240388164,1,0.980566368177332
"CO2_4_g8_r4",0.80776674267534,0.805484559186714,0.804195862569213,0.553821626742875,0.481755136291226,0.532279354053969,0.844033402035439,0.865918002555303,0.846195527105073,0.726606050266285,0.760133175232252,0.727231454165828,0.802369578394228,0.806247913071853,0.804750799492087,0.804474860438161,0.960860748459406,0.974584367098051,0.976929276753559,0.963655766033559,0.936062849313062,0.935598471586131,0.92663340615519,0.937922351419237,0.981442231666139,0.980696960179435,0.980566368177332,1
