task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
75	c3/377a1b	490368	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (3_T1)	COMPLETED	0	2024-01-12 09:18:28.976	46.9s	45s	315.6%	872.9 MB	1.6 GB	689.8 MB	651.2 MB
77	99/628637	492681	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (2_T1)	COMPLETED	0	2024-01-12 09:19:15.874	17.5s	15s	152.9%	2.8 MB	11 MB	69.4 MB	2.3 MB
76	4e/1aa68c	493203	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (2_T1)	COMPLETED	0	2024-01-12 09:19:33.389	27.7s	26s	421.9%	675.9 MB	1.6 GB	534.6 MB	502.2 MB
78	9c/c38a47	495036	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (8_T1)	COMPLETED	0	2024-01-12 09:20:01.049	19.5s	17s	150.5%	2.8 MB	11 MB	79.5 MB	2.3 MB
79	9b/d054b9	495589	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (8_T1)	COMPLETED	0	2024-01-12 09:20:20.533	33.1s	32s	423.0%	815.3 MB	1.5 GB	644.6 MB	607.5 MB
80	6f/f5a2f2	497559	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (11_T1)	COMPLETED	0	2024-01-12 09:20:53.632	35.9s	35s	424.2%	846.6 MB	1.5 GB	668.2 MB	630.2 MB
81	63/f27b24	499612	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (11_T1)	COMPLETED	0	2024-01-12 09:21:29.521	19.5s	16s	150.5%	2.8 MB	11 MB	81.6 MB	2.3 MB
83	ce/bb61b9	500164	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (9_T1)	COMPLETED	0	2024-01-12 09:21:49.057	24.5s	22s	140.2%	2.8 MB	11 MB	100.2 MB	2.3 MB
82	50/6ed2ae	500736	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (9_T1)	COMPLETED	0	2024-01-12 09:22:13.562	54s	53s	411.8%	1018.1 MB	1.8 GB	940 MB	893.4 MB
84	1e/1fb363	503140	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (10_T1)	COMPLETED	0	2024-01-12 09:23:07.517	47.5s	45s	378.1%	977.2 MB	1.6 GB	772.8 MB	729.6 MB
85	b4/a14947	505412	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (10_T1)	COMPLETED	0	2024-01-12 09:23:55.000	22.5s	20s	138.8%	2.8 MB	11 MB	91.7 MB	2.3 MB
86	e4/3d3ba9	505960	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (17_T1)	COMPLETED	0	2024-01-12 09:24:17.496	24.4s	22s	127.7%	2.8 MB	11 MB	89.5 MB	2.3 MB
87	e9/d9fa3e	506537	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (17_T1)	COMPLETED	0	2024-01-12 09:24:41.945	47.2s	45s	349.6%	951.1 MB	1.5 GB	751.5 MB	709.3 MB
89	33/fa5759	508819	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (15_T1)	COMPLETED	0	2024-01-12 09:25:29.170	23.9s	21s	143.7%	2.8 MB	11 MB	85.2 MB	2.3 MB
88	ed/8c90c4	509402	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (15_T1)	COMPLETED	0	2024-01-12 09:25:53.100	37.8s	36s	425.5%	902.6 MB	1.5 GB	711.6 MB	672 MB
90	1c/76f592	511458	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (18_T1)	COMPLETED	0	2024-01-12 09:26:30.883	19.5s	17s	133.3%	2.8 MB	11 MB	78.2 MB	2.3 MB
91	00/ccd8a1	512006	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (18_T1)	COMPLETED	0	2024-01-12 09:26:50.365	33s	31s	424.3%	805.3 MB	1.5 GB	635.3 MB	599 MB
92	af/37d6f8	513972	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (14_T1)	COMPLETED	0	2024-01-12 09:27:23.328	22.5s	20s	139.4%	2.8 MB	11 MB	87.6 MB	2.3 MB
