Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
CO2_30_g10_r3_T1										16.04712740781069	11.715201373098077	46.71934323092452	6.955552710742835	4.075786079003436	0.588765128870557	0.0
CO2_30_g4_r1_T1										18.85217591151342	20.429810229621587	42.74700300478273	0.7366793060419216	0.19661880906346438	0.0	0.0
CO2_30_g4_r2_T1										17.941781201856116	18.17707583377361	46.676485065248826	0.9743542639827015	0.23239614995197638	0.0	0.0
CO2_30_g4_r3_T1										16.19277673504392	13.09531591597114	52.400078888492615	3.610833231412205	0.1657437496744139	0.1572309998064677	0.0
CO2_30_g8_r1_T1										17.4952202901026	14.113595251063268	47.571087773714254	4.164711947504878	1.2263529124039807	0.16365919649519314	0.0
CO2_30_g8_r2_T1										19.172418449406315	17.897412505375904	43.36056302625637	2.196630012039111	0.8261219642397393	0.0	0.0
CO2_30_g8_r3_T1										18.36848871900943	16.187938284609345	45.42688636041202	3.0414621872858363	0.9900375322624394	0.1657663482818745	0.0
CO2_4_g0_r1_T1										19.83893356256431	25.221537559450326	37.192122899419545	0.12598310955018904	0.14858486780665128	0.0	0.0
CO2_4_g0_r2_T1										17.686342147733107	21.593161429476567	42.97995893011081	0.30691941164200587	0.15922220199567955	0.0	0.0
CO2_4_g0_r3_T1										15.645872192220606	14.871427417873479	53.47859202242724	1.5679257610270547	0.03723708165945056	0.15090531195129162	0.0
CO2_4_g0_r4_T1										18.481894836191564	22.726172697163836	40.87489806603314	0.2417744686009591	0.1435932702765968	0.0	0.0
CO2_4_g10_r1_T1										16.66984747105374	12.595999057261464	52.00747263194692	2.939842937530561	0.49944167596431804	0.18845320853205985	0.0
CO2_4_g10_r2_T1										17.015155506520912	13.721087055835246	50.88862192398319	2.1660901570864377	0.3207881909140081	0.18107886197853765	0.0
CO2_4_g10_r3_T1										17.057347073984296	13.018875781715309	51.934404922086145	2.666867064248426	0.3065548687415994	0.1909745999104854	0.0
CO2_4_g10_r4_T1										17.369285983750913	14.19034304879864	50.6728127533524	1.8853335024865552	0.40859504111968886	0.18064676018632328	0.0
CO2_4_g4_r1_T1										17.052366418275017	15.539892974337008	50.057786454388456	1.3723529896629134	0.03971720196946627	0.1688490278599361	0.0
CO2_4_g4_r2_T1										15.147486500283142	10.357138778908187	55.66015921085851	5.326027359741273	0.12870988246546516	0.1667723655976222	0.0
CO2_4_g4_r3_T1										15.601284238587546	12.397867444001967	54.190866224645106	3.0243539318732187	0.03703668703001007	0.1655313155014736	0.0
CO2_4_g4_r4_T1										16.6058111501453	14.847225091601032	50.96880419565183	1.5761940298053616	0.03817858493753763	0.16142321490146525	0.0
CO2_4_g8_r1_T1										16.594429476228495	12.194615969360092	53.828767311673055	3.3035697070550727	0.22317492869779956	0.17836205179481857	0.0
CO2_4_g8_r2_T1										16.602607503101684	12.387244927138788	52.992798766002814	3.084212367868323	0.11282213545509703	0.17732228729992294	0.0
CO2_4_g8_r3_T1										16.179162350604297	11.819972661333264	53.30188536662094	3.792320707523489	0.17057509458526152	0.1737186461309311	0.0
CO2_4_g8_r4_T1										17.18592881417123	14.235486348759924	51.180829327496355	2.0161158931437515	0.16362483413707743	0.18629734129661488	0.0
CO2_amb_g0_r1_T1										13.060642301672528	7.020133029104632	44.48190439205735	17.78789522449365	3.7773218704788523	0.08010223221052593	0.14896645984970205
CO2_amb_g0_r2_T1										12.847818879075747	6.7757734142781745	43.89633262097266	17.385534956265882	3.5854776359908267	0.07042333651638323	0.13715433478392686
CO2_amb_g0_r3_T1										14.015050328420497	7.031551429058955	48.429818947796704	13.994385181522183	1.5948822687229993	0.0	0.14383199205812813
CO2_amb_g10_r1_T1										11.848970004265	7.50137552106374	35.746147580918695	21.436020631601103	8.196132950621086	0.0	0.2591873989919384
CO2_amb_g10_r2_T1										12.857580175595217	7.677361538284525	39.202684802940965	19.62534608697571	6.3408033092653096	0.07476698809391298	0.1681097506778432
