	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g0_r3_T1	9.0	20.0	123.0	424.0	1435.0	3662.0	10724.0	18024.0	39498.0	58583.0	84458.0	108272.0	123604.0	122588.0	126498.0	126721.0	135258.0	146854.0	193153.0	299316.0	895171.0	1533614.0	4241180.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g10_r1_T1	17.0	33.0	213.0	805.0	2572.0	6573.0	18394.0	30613.0	65551.0	95192.0	133815.0	166737.0	184371.0	179310.0	180182.0	176512.0	185143.0	199517.0	264423.0	406374.0	1221753.0	2088168.0	5720394.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g10_r2_T1	7.0	17.0	165.0	544.0	1715.0	4486.0	12973.0	22215.0	48318.0	71361.0	104118.0	133552.0	152239.0	151691.0	156020.0	155005.0	165102.0	178862.0	236212.0	365195.0	1092290.0	1876677.0	5201318.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g10_r3_T1	19.0	32.0	182.0	573.0	1897.0	5082.0	14212.0	23703.0	51375.0	75130.0	107945.0	137353.0	155046.0	154633.0	157735.0	155546.0	166835.0	179979.0	238424.0	365440.0	1097695.0	1874874.0	5239842.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g4_r1_T1	2.0	19.0	151.0	477.0	1565.0	4031.0	11515.0	19131.0	41802.0	61305.0	88914.0	111886.0	127540.0	126350.0	129099.0	128223.0	137504.0	148967.0	196401.0	300870.0	900931.0	1548555.0	4291084.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g4_r2_T1	3.0	10.0	67.0	264.0	902.0	2189.0	6405.0	10790.0	24094.0	36460.0	53753.0	69987.0	80473.0	81380.0	84276.0	84638.0	90990.0	97996.0	129309.0	197970.0	594047.0	1019270.0	2847977.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g4_r3_T1	9.0	12.0	93.0	392.0	1239.0	3103.0	9147.0	15126.0	32556.0	48767.0	69218.0	88483.0	99468.0	96883.0	98418.0	96633.0	103341.0	112155.0	147963.0	227248.0	678853.0	1160191.0	3176228.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g8_r1_T1	8.0	12.0	124.0	352.0	1309.0	3214.0	9416.0	15523.0	34283.0	50019.0	72344.0	91849.0	102859.0	101446.0	103159.0	101421.0	108031.0	116279.0	153241.0	232771.0	696275.0	1204537.0	3313465.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g8_r2_T1	5.0	9.0	91.0	359.0	1096.0	2759.0	8061.0	13479.0	29685.0	44070.0	63669.0	82763.0	95011.0	95912.0	99411.0	99851.0	107612.0	116582.0	153322.0	237278.0	711689.0	1215867.0	3340227.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g8_r3_T1	9.0	19.0	134.0	443.0	1489.0	3751.0	10631.0	18208.0	39625.0	60011.0	86963.0	112423.0	129637.0	131474.0	135458.0	137045.0	147053.0	159113.0	210406.0	323099.0	965594.0	1664945.0	4627856.0

